Town,Inhabitants,y_lat,x_lon,node_id
Bezeréd,169.0,46.87686507200004,17.01676000100002,1784691380
Bezi,523.0,47.66518500000006,17.40632342200007,914430275
Biatorbágy,15211.0,47.46097000000003,18.82178285400005,483106584
Bicsérd,1048.0,46.03451162783756,18.08083388731628,342172258
Bicske,12424.0,47.50540000000007,18.62352500400004,8534399685
Bihardancsháza,158.0,47.23349602200005,21.32523500100007,2543223752
Biharkeresztes,4846.0,47.13869500100003,21.70208409600008,130406928
Biharnagybajom,2597.0,47.20979000000005,21.23233223900007,719457361
Bihartorda,981.0,47.21467500000006,21.36989987800007,720506645
Biharugra,843.0,46.96624000000003,21.62091777200004,2098875234
Bikács,425.0,46.68817000100006,18.69164623700004,1327351154
Bikal,662.0,46.32926000000003,18.27834080100007,11378537374
Biri,1329.0,47.82980000000003,21.86070306100004,7054739413
Birján,554.0,46.00264891143372,18.38174656567173,1610960688
Bisse,244.0,45.91226742269141,18.26528561231785,410453988
Boba,789.0,47.18921000000006,17.17925307500008,420522551
Bocfölde,1184.0,46.77199000100006,16.84563945500003,1085307024
Boconád,1291.0,47.63634183800008,20.20834000000008,737246316
Bócsa,1920.0,46.64452894200008,19.49696500000005,2181514125
Bocska,301.0,46.55026721899016,16.89381024090077,3921068770
Bocskaikert,4232.0,47.63096500000006,21.66090528200004,1819043831
Boda,454.0,46.07849722100008,18.04327500000005,349055223
Bodajk,3924.0,47.32953500000008,18.20855784100007,315220173
Bodmér,264.0,47.45085000000006,18.53552000000008,3894311349
Bodolyabér,234.0,46.2015091484372,18.11692899358135,17504483
Bodonhely,362.0,47.56347000000005,17.39207585400004,419618681
Bodony,723.0,47.94994500100006,20.01225098200007,2306152279
Bodorfa,86.0,47.07763460165082,17.3405054399602,1866905243
Bodrog,412.0,46.48823500000003,17.65177613700007,15724581
Bodroghalom,1287.0,48.29545762800007,21.71157000000005,2060724599
Bodrogkeresztúr,901.0,48.16110735000007,21.36528914500008,1187422570
Bodrogkisfalud,830.0,48.19866816500007,21.35505500100004,248816927
Bodrogolaszi,887.0,48.26798500000007,21.52572761900007,2063015533
Bódvalenke,344.0,48.54413000000005,20.81303611300007,459558496
Bódvarákó,77.0,48.50656500000008,20.74039098900005,448219691
Bódvaszilas,1017.0,48.54396500100006,20.71173110400002,1403902387
